Câu,Câu Hỏi,Đáp Án Đúng (.docx),Status
1,"Trong Luật TTATGTĐB, “đường ưu tiên” được quy định như thế nào?",2,CẦN THÊM VÀO
2,"Trong Luật TTATGTĐB, “làn đường” được quy định như thế nào?",1,CẦN THÊM VÀO
3,"Trong Luật TTATGTĐB, “người tham gia giao thông đường bộ”",3,CẦN THÊM VÀO
4,"Trong Luật TTATGTĐB, “người lái xe” được quy định như thế nào?",0,CẦN THÊM VÀO
5,"Trong Luật TTATGTĐB, “người điều khiển giao thông đường bộ” gồm những thành phần nào?",1,CẦN THÊM VÀO
29,Khi người điều khiển giao thông ra hiệu lệnh: “tay bên phải giơ,2,CẦN THÊM VÀO
133,"Gặp biển này, các loại xe cơ giới kéo theo rơ moóc kể cả ô tô sơ",1,CẦN THÊM VÀO
134,Biển nào cấm máy kéo?,0,CẦN THÊM VÀO
135,Biển nào không có hiệu lực đối với ô tô tải không kéo rơ moóc?,0,CẦN THÊM VÀO
136,Biển nào cấm máy kéo kéo theo rơ moóc?,2,CẦN THÊM VÀO
137,Khi gặp các biển này xe ưu tiên theo quy định (có tải trọng hay chiều cao toàn bộ vượt quá chỉ số gh,0,CẦN THÊM VÀO
138,Biển nào báo cấm tất cả các loại phương tiện đi lại cả hai hướng trừ các xe được ưu tiên theo luật đ,0,CẦN THÊM VÀO
139,Biển nào báo hiệu khoảng cách thực tế từ nơi đặt biển đến nơi cần,1,CẦN THÊM VÀO
140,Biển nào cấm đi ngược chiều?,0,CẦN THÊM VÀO
141,Biển nào xe được phép quay đầu?,0,CẦN THÊM VÀO
142,Biển nào cấm quay đầu xe?,1,CẦN THÊM VÀO
143,Biển nào cấm các loại xe cơ giới vượt nhau (kể cả xe được ưu tiên theo quy định) nhưng được phép vượ,0,CẦN THÊM VÀO
144,Biển nào cấm xe ô tô tải vượt?,0,CẦN THÊM VÀO
145,Ba biển này có ý nghĩa như thế nào?,0,CẦN THÊM VÀO
146,Biển nào xe mô tô hai bánh được đi vào?,0,CẦN THÊM VÀO
147,Khi gặp biển nào thì xe mô tô hai bánh được đi vào?,0,CẦN THÊM VÀO
148,Biển nào báo hiệu cấm xe mô tô ba bánh đi vào?,0,CẦN THÊM VÀO
149,Biển nào báo hiệu phải nhường đường cho xe cơ giới đi ngược chiều qua đường hẹp?,0,CẦN THÊM VÀO
150,Biển nào cấm xe ô tô tải?,0,CẦN THÊM VÀO
151,"Biển nào cấm mọi loại xe cơ giới đi vào, trừ xe gắn máy, xe mô tô hai bánh và các loại xe ưu tiên th",0,CẦN THÊM VÀO
153,Biển nào báo đường cấm các xe chở hàng nguy hiểm?,0,CẦN THÊM VÀO
154,"Trong các biển dưới đây, biển nào báo đường cấm xe ba bánh loại có",,CẦN THÊM VÀO
162,Gặp biển nào xe ô tô được phép rẽ trái nhưng không được phép quay đầu?,0,CẦN THÊM VÀO
163,"Khi gặp biển này, người lái xe ô tô chở khách và các loại xe ô tô tải trừ xe ưu tiên theo quy định c",1,CẦN THÊM VÀO
177,Biển nào báo hiệu giao nhau với đường ưu tiên?,,CẦN THÊM VÀO
186,Biển nào báo hiệu sắp đến chỗ giao nhau nguy hiểm?,2,CẦN THÊM VÀO
199,Biển nào cảnh báo sắp tới những vị trí có kè chắn vực sâu hoặc sông suối ở phía trước?,0,CẦN THÊM VÀO
214,Biển nào báo hiệu hết hạn chế tốc độ tối đa trong khu vực?,0,CẦN THÊM VÀO
229,Biển nào chỉ hướng đường phải đi cho từng loại xe?,,CẦN THÊM VÀO
238,Biển này có ý nghĩa gì?,1,CẦN THÊM VÀO
464,"Tiêu chí văn hóa giao thông đối với lực lượng chức năng làm nhiệm vụ bảo đảm trật tự, an toàn giao t",3,CẦN THÊM VÀO
465,"Để góp phần xây dựng văn hóa giao thông, người lái xe không được thực hiện hành vi nào sau đây?",0,CẦN THÊM VÀO
